label	name	color
2	"Left-Cerebral-White-Matter"	#f5f5f5
4	"Left-Lateral-Ventricle"	#781286
5	"Left-Inf-Lat-Vent"	#c43afa
7	"Left-Cerebellum-White-Matter"	#dcf8a4
8	"Left-Cerebellum-Cortex"	#e69422
10	"Left-Thalamus"	#00760e
11	"Left-Caudate"	#7abadc
12	"Left-Putamen"	#ec0db0
13	"Left-Pallidum"	#0c30ff
14	"3rd-Ventricle"	#ccb68e
15	"4th-Ventricle"	#2acca4
16	"Brain-Stem"	#779fb0
17	"Left-Hippocampus"	#dcd814
18	"Left-Amygdala"	#67ffff
24	"CSF"	#3c3c3c
26	"Left-Accumbens-area"	#ffa500
28	"Left-VentralDC"	#a52a2a
41	"Right-Cerebral-White-Matter"	#f5f5f5
43	"Right-Lateral-Ventricle"	#781286
44	"Right-Inf-Lat-Vent"	#c43afa
46	"Right-Cerebellum-White-Matter"	#dcf8a4
47	"Right-Cerebellum-Cortex"	#e69422
49	"Right-Thalamus"	#00760e
50	"Right-Caudate"	#7abadc
51	"Right-Putamen"	#ec0db0
52	"Right-Pallidum"	#0d30ff
53	"Right-Hippocampus"	#dcd814
54	"Right-Amygdala"	#67ffff
58	"Right-Accumbens-area"	#ffa500
60	"Right-VentralDC"	#a52a2a
1001	"ctx-lh-bankssts"	#196428
1002	"ctx-lh-caudalanteriorcingulate"	#7d64a0
1003	"ctx-lh-caudalmiddlefrontal"	#641900
1005	"ctx-lh-cuneus"	#dc1464
1006	"ctx-lh-entorhinal"	#dc140a
1007	"ctx-lh-fusiform"	#b4dc8c
1008	"ctx-lh-inferiorparietal"	#dc3cdc
1009	"ctx-lh-inferiortemporal"	#b42878
1010	"ctx-lh-isthmuscingulate"	#8c148c
1011	"ctx-lh-lateraloccipital"	#141e8c
1012	"ctx-lh-lateralorbitofrontal"	#234b32
1013	"ctx-lh-lingual"	#e18c8c
1014	"ctx-lh-medialorbitofrontal"	#c8234b
1015	"ctx-lh-middletemporal"	#a06432
1016	"ctx-lh-parahippocampal"	#14dc3c
1017	"ctx-lh-paracentral"	#3cdc3c
1018	"ctx-lh-parsopercularis"	#dcb48c
1019	"ctx-lh-parsorbitalis"	#146432
1020	"ctx-lh-parstriangularis"	#dc3c14
1021	"ctx-lh-pericalcarine"	#78643c
1022	"ctx-lh-postcentral"	#dc1414
1023	"ctx-lh-posteriorcingulate"	#dcb4dc
1024	"ctx-lh-precentral"	#3c14dc
1025	"ctx-lh-precuneus"	#a08cb4
1026	"ctx-lh-rostralanteriorcingulate"	#50148c
1027	"ctx-lh-rostralmiddlefrontal"	#4b327d
1028	"ctx-lh-superiorfrontal"	#14dca0
1029	"ctx-lh-superiorparietal"	#14b48c
1030	"ctx-lh-superiortemporal"	#8cdcdc
1031	"ctx-lh-supramarginal"	#50a014
1032	"ctx-lh-frontalpole"	#640064
1033	"ctx-lh-temporalpole"	#464646
1034	"ctx-lh-transversetemporal"	#9696c8
1035	"ctx-lh-insula"	#ffc020
2001	"ctx-rh-bankssts"	#196428
2002	"ctx-rh-caudalanteriorcingulate"	#7d64a0
2003	"ctx-rh-caudalmiddlefrontal"	#641900
2005	"ctx-rh-cuneus"	#dc1464
2006	"ctx-rh-entorhinal"	#dc140a
2007	"ctx-rh-fusiform"	#b4dc8c
2008	"ctx-rh-inferiorparietal"	#dc3cdc
2009	"ctx-rh-inferiortemporal"	#b42878
2010	"ctx-rh-isthmuscingulate"	#8c148c
2011	"ctx-rh-lateraloccipital"	#141e8c
2012	"ctx-rh-lateralorbitofrontal"	#234b32
2013	"ctx-rh-lingual"	#e18c8c
2014	"ctx-rh-medialorbitofrontal"	#c8234b
2015	"ctx-rh-middletemporal"	#a06432
2016	"ctx-rh-parahippocampal"	#14dc3c
2017	"ctx-rh-paracentral"	#3cdc3c
2018	"ctx-rh-parsopercularis"	#dcb48c
2019	"ctx-rh-parsorbitalis"	#146432
2020	"ctx-rh-parstriangularis"	#dc3c14
2021	"ctx-rh-pericalcarine"	#78643c
2022	"ctx-rh-postcentral"	#dc1414
2023	"ctx-rh-posteriorcingulate"	#dcb4dc
2024	"ctx-rh-precentral"	#3c14dc
2025	"ctx-rh-precuneus"	#a08cb4
2026	"ctx-rh-rostralanteriorcingulate"	#50148c
2027	"ctx-rh-rostralmiddlefrontal"	#4b327d
2028	"ctx-rh-superiorfrontal"	#14dca0
2029	"ctx-rh-superiorparietal"	#14b48c
2030	"ctx-rh-superiortemporal"	#8cdcdc
2031	"ctx-rh-supramarginal"	#50a014
2032	"ctx-rh-frontalpole"	#640064
2033	"ctx-rh-temporalpole"	#464646
2034	"ctx-rh-transversetemporal"	#9696c8
2035	"ctx-rh-insula"	#ffc020
